identifier,address,chain,name,symbol,decimals,coingecko,cryptocompare,started,protocol
eip155:56/erc20:0x1613957159E9B0ac6c80e824F7Eea748a32a0AE2,0x1613957159E9B0ac6c80e824F7Eea748a32a0AE2,56,pTokens CGG,CGG,18,chain-guardians,CGG,1616600229,
eip155:56/erc20:0x39d4549908e7Adcee9b439429294eEb4c65c2C9e,0x39d4549908e7Adcee9b439429294eEb4c65c2C9e,56,Chainport.io-Peg HORD Token,HORD,18,hord,HORD,1622104027,
eip155:56/erc20:0x1Da87b114f35E1DC91F72bF57fc07A768Ad40Bb0,0x1Da87b114f35E1DC91F72bF57fc07A768Ad40Bb0,56,Equalizer,EQZ,18,equalizer,EQZ,1617970562,
eip155:56/erc20:0x8BD778B12b15416359A227F0533Ce2D91844e1eD,0x8BD778B12b15416359A227F0533Ce2D91844e1eD,56,SakeToken,SAKE,18,sake-token,SAKE,1616511779,
eip155:56/erc20:0x35DE111558F691F77f791fb0c08b2D6B931A9d47,0x35DE111558F691F77f791fb0c08b2D6B931A9d47,56,Chain Games,bCHAIN,18,chain-games,CHAIN,1617784965,
eip155:56/erc20:0x681fd3e49a6188Fc526784eE70AA1C269ee2B887,0x681fd3e49a6188Fc526784eE70AA1C269ee2B887,56,Franklin,FLy,4,franklin,,1623665506,
eip155:56/erc20:0xbcf39F0EDDa668C58371E519AF37CA705f2bFcbd,0xbcf39F0EDDa668C58371E519AF37CA705f2bFcbd,56,PolyCrowns,pCWS,18,crowns,CWS,1614233561,
eip155:56/erc20:0x6Ae9701B9c423F40d54556C9a443409D79cE170a,0x6Ae9701B9c423F40d54556C9a443409D79cE170a,56,Polka City,POLC,18,polka-city,POLC,1624400988,
eip155:56/erc20:0xF6565A97Dc832d93DC83B75EE9aa5c7e8ecB0F9d,0xF6565A97Dc832d93DC83B75EE9aa5c7e8ecB0F9d,56,HYVE,HYVE,18,hyve,HYVE,1616018204,
eip155:56/erc20:0x474021845C4643113458ea4414bdb7fB74A01A77,0x474021845C4643113458ea4414bdb7fB74A01A77,56,UnoRe,UNO,18,uno-re,UNORE,1626173508,
eip155:56/erc20:0xAF00aAc2431b04EF6afD904d19B08D5146e3A9A0,0xAF00aAc2431b04EF6afD904d19B08D5146e3A9A0,56,Portion,PRT,18,portion,,1616878684,
eip155:56/erc20:0xF0902eB0049A4003793BAb33F3566A22D2834442,0xF0902eB0049A4003793BAb33F3566A22D2834442,56,Glitch,GLCH,18,glitch-protocol,GLCH,1619680961,
eip155:56/erc20:0x431e0cD023a32532BF3969CddFc002c00E98429d,0x431e0cD023a32532BF3969CddFc002c00E98429d,56,Chainport.io-Peg XCAD Token,XCAD,18,xcad-network,XCAD,1622066444,
eip155:56/erc20:0x0231f91e02DebD20345Ae8AB7D71A41f8E140cE7,0x0231f91e02DebD20345Ae8AB7D71A41f8E140cE7,56,BSC Wrapped Jupiter,bwJUP,18,jupiter,JUP,1613197430,
eip155:56/erc20:0xCfB24d3C3767364391340a2E6d99c64F1CBd7A3D,0xCfB24d3C3767364391340a2E6d99c64F1CBd7A3D,56,Launchpool token,LPOOL,18,launchpool,LPOOL,1616143210,
eip155:56/erc20:0xD9c2D319Cd7e6177336b0a9c93c21cb48d84Fb54,0xD9c2D319Cd7e6177336b0a9c93c21cb48d84Fb54,56,HAPI,HAPI,18,hapi,HAPI,1615324632,
eip155:56/erc20:0x2FA5dAF6Fe0708fBD63b1A7D1592577284f52256,0x2FA5dAF6Fe0708fBD63b1A7D1592577284f52256,56,UnmarshalToken,MARSH,18,unmarshal,MARSH,1618044523,
eip155:56/erc20:0x33d08D8C7a168333a85285a68C0042b39fC3741D,0x33d08D8C7a168333a85285a68C0042b39fC3741D,56,AIOZ Network,AIOZ,18,aioz-network,AIOZ,1617272815,
eip155:56/erc20:0x959229D94c9060552daea25AC17193bcA65D7884,0x959229D94c9060552daea25AC17193bcA65D7884,56,IOI Token via ChainPort.io,IOI,6,ioi-token,IOI,1623394929,
eip155:56/erc20:0x84e9a6F9D240FdD33801f7135908BfA16866939A,0x84e9a6F9D240FdD33801f7135908BfA16866939A,56,GAMEE,GMEE,18,gamee,GMEE,1634794953,
